token_id,conditionId,market_id,autocorr_lag1,p_up_given_pos_mom,p_up_given_neg_mom
100002081885034764764213898281586264949106447006157783140229913208847078409267,0x92f5d3c973225f097d4ed6a3416fb4dd6e6b28f2a0eeef29971d37996ca14a5f,573261,-0.03989310696379088,0.2962962962962963,0.4090909090909091
100040869651573271331484497952245727226776606063582955576167126233747725301906,0x07094b57090c2c10fd47fed6a9f7f18b7692fd617b908e515431eb7454a6fcd0,548874,-0.18145655262404223,0.3125,0.6666666666666666
100428199494628337295259321324046095656837987820371507353482218279623981022142,0xdb4c9be8df4f83ccfce2c59e6aa17357324a0bead6b4f154aa562c701f521192,596148,0.17283138885463736,0.1875,0.4
100589474009247278549441489018415317202468532380011595586097348481411519611900,0x00cba2a437e0cb3c5d3fca0c4bf920104efca53e23827c726778c89a74890ac2,616761,0.04660990660335935,0.2,0.42857142857142855
100604684340378535845842646815185599210896075956282154254010772088055328803344,0x7583e8ac3118a7682fe9d0d45be6ba78769c98a56db9ab2deea936d3dbd8b7e5,526707,-0.0756912588524366,0.058823529411764705,0.5
100683491760254136284678121553892497374811376532638571161212001933094212528526,0x33a257f2c5256809aa8bfc6d818b3c7b88ab324146171a0a6a7f473e79363726,533594,-0.7486640086398139,0.1,1.0
101199113187358764285200280071134952125529042890326681475222872997261054015685,0xe2e39330aef554f26cdb1a251ac3ef1f45d40ddfc6354a9e992988180d443c9f,589582,0.4775243573598805,0.8,0.5
101202698291731623234343413657942745125030847840068639447346379976337209185856,0x46b20e8cce1e6f815bfa6ef4e2fdec4017c1a1892825f5190aac024db60d551f,516625,-0.32965408534280505,0.14285714285714285,0.3333333333333333
10142872462975275995759595767341515402450823584364917228661247714894341308969,0x9e56a92abcf4996105ab15ce5612742bc33f4b9097bb6a4ec5f1468e6f2580c5,538931,-0.32365509337387355,0.0970873786407767,0.32098765432098764
101577291509665096520416235797040748854911003946110483152946618674601588197649,0xf979ca0bd02877be5420e2f43001598334aae2e2a95eda94d001ffaa7b9fe74e,551896,-0.41648229651921714,0.47368421052631576,0.46875
101615509525003927037327559942931988249201938962657209744355801307747988963354,0xcca9cf39b58e258061af40fe6f433656a25d5251f1e21724b45111396586bf49,523483,0.7164900911522346,0.8333333333333334,0.0
101872603334317946423222447986037012233837395744236940156452909862071076176500,0x96b25364db89912998c4d5c802b8069a4a4168d4513d65fdc7693c8c696c40f4,545512,-0.6408012221262723,0.375,1.0
101945067654616081787858098082977505142122244293668844495426015814043935632878,0x2f9dc0fb90f0e1fb5944e372f50f25032d00f14da6daeedd042d11056def67bc,544619,0.3166998199239247,0.46153846153846156,0.0
