market_id,model,n_train,n_test,rmse,mae,mape,directional_acc
518876,naive,280,70,0.4039836320941728,0.24185,0.8017369159979578,0.08695652173913043
518876,ma5,280,70,0.34232819778686063,0.32422142857142855,3.3453257909549756,0.08695652173913043
518876,arima,280,70,0.3675491305461825,0.35857235874548854,4.006567019363144,0.2028985507246377
518876,lstm,280,70,0.37672024822639527,0.368855800798961,4.21215007248182,0.42028985507246375
518876,transformer,280,70,0.36895556083640335,0.3604634617056165,4.0491585617994375,0.36231884057971014
507868,naive,217,55,0.36548761327101836,0.2369727272727273,3.0403813109337765,0.037037037037037035
507868,ma5,217,55,0.36789537050140164,0.24047272727272717,3.055362746172395,0.037037037037037035
507868,arima,217,55,0.3283519065004069,0.18990160035131884,2.7990395828631414,0.25925925925925924
507868,lstm,217,55,0.2912430880942292,0.16483156958493317,2.543787695922847,0.4444444444444444
507868,transformer,217,55,0.2980686241093939,0.1652589980472218,2.5715675713327766,0.35185185185185186
507884,naive,217,55,0.3266385269265205,0.2752727272727272,1.4778663587135206,0.16666666666666666
507884,ma5,217,55,0.34117870550623336,0.29000000000000004,1.5439925462081066,0.16666666666666666
507884,arima,217,55,0.3292912195502506,0.27799884129642843,1.4900683100981473,0.48148148148148145
507884,lstm,217,55,0.3554623121126356,0.3041195948340676,1.6076655396053308,0.3148148148148148
507884,transformer,217,55,0.3533364872729534,0.30219365930557246,1.5983894636712261,0.42592592592592593
507883,naive,200,50,0.3493068493459583,0.16007000000000005,4.030893360325355,0.10204081632653061
507883,ma5,200,50,0.3495758215323251,0.16020200000000004,4.03350928839254,0.10204081632653061
507883,arima,200,50,0.31634476208399204,0.24873157275254168,3.284488797412333,0.1836734693877551
507883,lstm,200,50,0.3137353160936313,0.236688888463974,3.340113604982866,0.30612244897959184
507883,transformer,200,50,0.31295612470826106,0.22619377056121828,3.388517508889298,0.40816326530612246
507876,naive,197,50,0.3748764263060563,0.18569000000000002,4.440800359127606,0.061224489795918366
507876,ma5,197,50,0.32585130811460616,0.24283,3.628523070075028,0.061224489795918366
507876,arima,197,50,0.32747949840795065,0.21518697036013545,3.7850163899161555,0.30612244897959184
