model,rmse,mae,mape,directional_acc
lstm,0.3115053002387369,0.23877123483359552,2.584532103367759,0.3911637694444619
transformer,0.31242488333394236,0.23820878305128024,2.584927055276318,0.42278082987743354
arima,0.3467827557337565,0.27085478894912235,58.06990995566171,0.2984227576287508
ma5,0.3668757767434378,0.2947224622228306,54.17157517477331,0.2603693749863527
naive,0.4334249573366947,0.25236311117782323,60.50328293416049,0.2603693749863527
